KA,名义功率(kW),小轮转速(r/min),带型,基准宽度Bd,Hamin,Hfmin,e,Fmin,δmin,轴孔径d
1.2,7,960,B,14 / 14,3.5 / 3.5,10.8 / 10.8,19 / 19,11.5 / 11.5,7.5 / 7.5,40 / 50,

小轮 / 大轮直径,传动比, 带基准长度, 中心矩, 小轮包角(°), 带速(m/s), 带的根数,建议带轮结构,槽轮角φ(°),最小带轮宽B,轮毂宽度L,最小外径da,轮毂直径d1,轮缘内径D1,腹板厚度C',预估毛坯质量(Kg)
125 / 355,2.84,1560,383.329,145.622,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1560,384.434,145.721,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1560,385.422,145.809,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1560,386.311,145.887,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1560,387.113,145.958,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1560,387.843,146.022,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1760,488.508,153.024,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1760,489.117,153.058,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1760,489.677,153.088,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1760,490.194,153.117,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1760,490.672,153.143,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1950,586.116,157.516,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1950,586.529,157.532,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1950,586.914,157.547,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1950,587.274,157.561,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,1950,587.612,157.574,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,2180,702.929,161.253,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,2180,703.227,161.261,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,2180,703.508,161.268,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,2180,703.774,161.275,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,2300,764.025,162.752,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,2300,764.262,162.757,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,2300,764.488,162.762,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
125 / 355,2.84,2300,764.702,162.767,6.28319,5,实心 / 孔板,34 / 38,99 / 99,80 / 100,132 / 362,80 / 100,88.4 / 318.4,0~0 / 14~25,8.24 / 22.7
