KA,ÃûÒå¹¦ÂÊ(kW),Ð¡ÂÖ×ªËÙ(r/min),´øÐÍ,»ù×¼¿í¶ÈBd,Hamin,Hfmin,²Û¼ä¾àe,Fmin,¦Ämin,Öá¿×¾¶d
1.2,7,960,B,14 / 14,3.5 / 3.5,10.8 / 10.8,19 / 19,11.5 / 11.5,7.5 / 7.5,32 / 32,

Ð¡ÂÖ/´óÂÖÖ±¾¶, ´«¶¯±È, ´ø»ù×¼³¤¶È, ÖÐÐÄ¾Ø, Ð¡ÂÖ°ü½Ç(¡ã), ´øËÙ(m/s), ´øµÄ¸ùÊý,½¨Òé´øÂÖ½á¹¹,²ÛÂÖ½Ç¦Õ(¡ã),×îÐ¡´øÂÖ¿íB,ÂÖì±¿í¶ÈL,×îÐ¡Íâ¾¶da,ÂÖì±Ö±¾¶d1,ÂÖÔµÄÚ¾¶D1,¸¹°åºñ¶ÈC',Ô¤¹ÀÃ«Å÷ÖÊÁ¿(Kg)
125 / 355,2.84,1560,383.329,145.622,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1560,385.422,145.809,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1560,387.113,145.958,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1760,488.508,153.024,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1760,489.677,153.088,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1760,490.672,153.143,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1950,586.529,157.532,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1950,587.274,157.561,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,2180,702.929,161.253,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,2180,703.508,161.268,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,2300,764.025,162.752,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,2300,764.488,162.762,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,2500,864.905,164.764,6.28319,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,132 / 362,64 / 64,88.4 / 318.4,11~20 / 11~20,6.06 / 15.8
125 / 355,2.84,2500,865.284,164.77,6.28319,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,132 / 362,64 / 64,88.4 / 318.4,11~20 / 11~20,6.06 / 15.8
125 / 355,2.84,2500,865.629,164.776,6.28319,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,132 / 362,64 / 64,88.4 / 318.4,11~20 / 11~20,6.06 / 15.8
125 / 355,2.84,2700,965.944,166.357,6.28319,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,132 / 362,64 / 64,88.4 / 318.4,11~20 / 11~20,6.06 / 15.8
132 / 400,3.0303,1560,338.06,134.578,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,1760,440.398,145.133,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,1760,442.323,145.285,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,1950,538.935,151.508,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,1950,540.305,151.58,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,1950,541.483,151.642,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
